JE	аccueil	je@аccueil
VOULOIR	аccueil	vouloir@аccueil
QUOI	аccueil	quoi@аccueil
PAS	аccueil	pas@аccueil
ENCORE	аccueil	encore@аccueil
TU	аccueil	tu@аccueil
AIMER	аccueil	aimer@аccueil
FAIRE_R	аccueil	faire_R@аccueil
C'EST-FINI	аccueil	c'est-fini@аccueil
À	аccueil	à@аccueil
ÇA	аccueil	ça@аccueil
ALLER	аccueil	aller@аccueil
ARRÊTER	аccueil	arrêter@аccueil
AVEC	аccueil	avec@аccueil
AIDE_R	аccueil	aide_R@аccueil
PERSONNES_R	аccueil	personnes_R@аccueil
DONNER	аccueil	donner@аccueil
PETITS	аccueil	petits@аccueil
ACTIONS_R	аccueil	actions_R@аccueil
DÉCRIRE_R	аccueil	décrire_R@аccueil
A_R	аccueil	a_R@аccueil
LA	аccueil	la@аccueil
ÇA	аccueil	ça@аccueil
CHOSES_R	аccueil	choses_R@аccueil
LIEUX_R	аccueil	lieux_R@аccueil
CHAT_R	аccueil	chat_R@аccueil
ACTIVITÉS_R	аccueil	activités_R@аccueil
PLUS	аccueil	plus@аccueil
NOURRITURE_R	accueil - 2	nourriture_R@accueil - 2
DIVERTISSE-	accueil - 2	divertisse-@accueil - 2
ÉMOTIONS_R	accueil - 2	émotions_R@accueil - 2
TEMPS_R	accueil - 2	temps_R@accueil - 2
INDICES_R	accueil - 2	indices_R@accueil - 2
MENT	accueil - 2	ment@accueil - 2
INTERROGER_R	accueil - 2	interroger_R@accueil - 2
OÙ_R	accueil - 2	où_R@accueil - 2
LEQUEL_R	accueil - 2	lequel_R@accueil - 2
CONJONCTIONS_R	accueil - 2	conjonctions_R@accueil - 2
NOMBRES_R	accueil - 2	nombres_R@accueil - 2
ÉCOLE	accueil - 2	école@accueil - 2
RELIGION_R	accueil - 2	religion_R@accueil - 2
CHOSES-DE-LA-MAISON	accueil - 2	choses-de-la-maison@accueil - 2
RETOUR	accueil - 2	retour@accueil - 2
IL	aide	il@aide
A_R	aide	a_R@aide
UN	aide	un@aide
PROBLÈME	aide	problème@aide
CORPS-HUMAIN	aide	corps-humain@aide
PRODUITS	aide	produits@aide
AVOIR_R	aide	avoir_R@aide
MAL	aide	mal@aide
AVOIR_R	aide	avoir_R@aide
BESOIN	aide	besoin@aide
SOIN	aide	soin@aide
D'AIDE	aide	d'aide@aide
ALLER	aide	aller@aide
TOILETTES	aide	toilettes@aide
ETRE	aide	etre@aide
MALADE	aide	malade@aide
NE	aide	ne@aide
PAS	aide	pas@aide
MONTREZ-MOI	aide	montrez-moi@aide
APPELER	aide	appeler@aide
QUELQU'UN	aide	quelqu'un@aide
COMPRENDRE	aide	comprendre@aide
CALMER	aide	calmer@aide
AUX	aide	aux@aide
LE	aide	le@aide
FAIRE_R	aide	faire_R@aide
SEUL	aide	seul@aide
FAIRE_R	aide	faire_R@aide
UNE	aide	une@aide
ETRE	aide	etre@aide
PERDU	aide	perdu@aide
QUELQU'UN	aide	quelqu'un@aide
DEVOIRS	aide	devoirs@aide
ERREUR	aide	erreur@aide
NE	aide	ne@aide
PAS	aide	pas@aide
ÊTRE	aide	être@aide
PRÊT	aide	prêt@aide
RECOMMENCER	aide	recommencer@aide
PARLEZ-MOI	aide	parlez-moi@aide
PLUS	aide	plus@aide
CONTACTS_R	aide - 2	contacts_R@aide - 2
RETOUR	aide - 2	retour@aide - 2
AVOIR-BESOIN	il a un problème	avoir-besoin@il a un problème
MAL	il a un problème	mal@il a un problème
À	il a un problème	à@il a un problème
L'OREILLE	il a un problème	l'oreille@il a un problème
MAL	il a un problème	mal@il a un problème
À	il a un problème	à@il a un problème
LA	il a un problème	la@il a un problème
GORGE	il a un problème	gorge@il a un problème
MAL	il a un problème	mal@il a un problème
À	il a un problème	à@il a un problème
LA	il a un problème	la@il a un problème
TÊTE	il a un problème	tête@il a un problème
MAL	il a un problème	mal@il a un problème
À	il a un problème	à@il a un problème
L'ESTOMAC	il a un problème	l'estomac@il a un problème
PANSEMENT	il a un problème	pansement@il a un problème
RHUME	il a un problème	rhume@il a un problème
TOUX	il a un problème	toux@il a un problème
VITAMINES	il a un problème	vitamines@il a un problème
J'AI	il a un problème	j'ai@il a un problème
J'AI	il a un problème	j'ai@il a un problème
BESOIN	il a un problème	besoin@il a un problème
CORPS-HUMAIN	il a un problème	corps-humain@il a un problème
MÉDICAL_R	il a un problème	médical_R@il a un problème
ÉCHELLE	il a un problème	échelle@il a un problème
D'AIDE	il a un problème	d'aide@il a un problème
DE	il a un problème	de@il a un problème
DOULEUR	il a un problème	douleur@il a un problème
PLUS	il a un problème	plus@il a un problème
JE	corps humain	je@corps humain
VOULOIR	corps humain	vouloir@corps humain
BLESSER	corps humain	blesser@corps humain
PAS	corps humain	pas@corps humain
ENCORE	corps humain	encore@corps humain
TU	corps humain	tu@corps humain
AIMER	corps humain	aimer@corps humain
CORPS_R	corps humain	corps_R@corps humain
OK	corps humain	ok@corps humain
C'EST-FINI	corps humain	c'est-fini@corps humain
BOUCHE	corps humain	bouche@corps humain
BRAS	corps humain	bras@corps humain
CHEVEUX	corps humain	cheveux@corps humain
COU	corps humain	cou@corps humain
DENT	corps humain	dent@corps humain
DOIGT	corps humain	doigt@corps humain
DOS	corps humain	dos@corps humain
ESTOMAC	corps humain	estomac@corps humain
FESSES	corps humain	fesses@corps humain
GENOU	corps humain	genou@corps humain
GORGE	corps humain	gorge@corps humain
JAMBE	corps humain	jambe@corps humain
OREILLE	corps humain	oreille@corps humain
NEZ	corps humain	nez@corps humain
TU	corps humain	tu@corps humain
AIMER	corps humain	aimer@corps humain
CORPS_R	corps humain	corps_R@corps humain
OK	corps humain	ok@corps humain
C'EST-FINI	corps humain	c'est-fini@corps humain
BOUCHE	corps humain	bouche@corps humain
BRAS	corps humain	bras@corps humain
CHEVEUX	corps humain	cheveux@corps humain
COU	corps humain	cou@corps humain
DENT	corps humain	dent@corps humain
DOIGT	corps humain	doigt@corps humain
DOS	corps humain	dos@corps humain
ESTOMAC	corps humain	estomac@corps humain
FESSES	corps humain	fesses@corps humain
GENOU	corps humain	genou@corps humain
GORGE	corps humain	gorge@corps humain
JAMBE	corps humain	jambe@corps humain
OREILLE	corps humain	oreille@corps humain
NEZ	corps humain	nez@corps humain
PIED	corps humain	pied@corps humain
TÊTE	corps humain	tête@corps humain
VISAGE	corps humain	visage@corps humain
ŒEIL	corps humain	œeil@corps humain
PLUS	corps humain	plus@corps humain
CHEVILLE	corps humain - 2	cheville@corps humain - 2
CÔTÉ	corps humain - 2	côté@corps humain - 2
COUDE	corps humain - 2	coude@corps humain - 2
ÉPAULE	corps humain - 2	épaule@corps humain - 2
FRONT	corps humain - 2	front@corps humain - 2
HANCHE	corps humain - 2	hanche@corps humain - 2
JOUES	corps humain - 2	joues@corps humain - 2
LANGUE	corps humain - 2	langue@corps humain - 2
LÈVRES	corps humain - 2	lèvres@corps humain - 2
DROITE	corps humain - 2	droite@corps humain - 2
GAUCHE	corps humain - 2	gauche@corps humain - 2
ONGLE	corps humain - 2	ongle@corps humain - 2
ONGLE-DE-L'ORTEIL	corps humain - 2	ongle-de-l'orteil@corps humain - 2
MENTON	corps humain - 2	menton@corps humain - 2
MUSCLES	corps humain - 2	muscles@corps humain - 2
PARTIE-DU-CORPS	corps humain - 2	partie-du-corps@corps humain - 2
ORTEIL	corps humain - 2	orteil@corps humain - 2
OS	corps humain - 2	os@corps humain - 2
РEAU	corps humain - 2	рeau@corps humain - 2
PIED-DROIT	corps humain - 2	pied-droit@corps humain - 2
PIED-GAUCHE	corps humain - 2	pied-gauche@corps humain - 2
POIGNET	corps humain - 2	poignet@corps humain - 2
POITRINE	corps humain - 2	poitrine@corps humain - 2
POUCE	corps humain - 2	pouce@corps humain - 2
SOURCIL	corps humain - 2	sourcil@corps humain - 2
HANCHE	corps humain - 2	hanche@corps humain - 2
JOUES	corps humain - 2	joues@corps humain - 2
LANGUE	corps humain - 2	langue@corps humain - 2
LÈVRES	corps humain - 2	lèvres@corps humain - 2
DROITE	corps humain - 2	droite@corps humain - 2
GAUCHE	corps humain - 2	gauche@corps humain - 2
ONGLE-DE-L'ORTEIL	corps humain - 2	ongle-de-l'orteil@corps humain - 2
MENTON	corps humain - 2	menton@corps humain - 2
MUSCLES	corps humain - 2	muscles@corps humain - 2
ONGLE	corps humain - 2	ongle@corps humain - 2
PARTIE-DU-CORPS	corps humain - 2	partie-du-corps@corps humain - 2
ORTEIL	corps humain - 2	orteil@corps humain - 2
OS	corps humain - 2	os@corps humain - 2
РEAU	corps humain - 2	рeau@corps humain - 2
PIED-DROIT	corps humain - 2	pied-droit@corps humain - 2
PIED-GAUCHE	corps humain - 2	pied-gauche@corps humain - 2
POIGNET	corps humain - 2	poignet@corps humain - 2
POITRINE	corps humain - 2	poitrine@corps humain - 2
POUCE	corps humain - 2	pouce@corps humain - 2
SOURCIL	corps humain - 2	sourcil@corps humain - 2
TAILLE	corps humain - 2	taille@corps humain - 2
TALON	corps humain - 2	talon@corps humain - 2
VOIX	corps humain - 2	voix@corps humain - 2
RETOUR	corps humain - 2	retour@corps humain - 2
JE	médical	je@médical
VOULOIR	médical	vouloir@médical
ASPIRINE	médical	aspirine@médical
PAS	médical	pas@médical
ENCORE	médical	encore@médical
TU	médical	tu@médical
AIMER	médical	aimer@médical
BANDAGE	médical	bandage@médical
COMPRIMÉS	médical	comprimés@médical
C'EST-FINI	médical	c'est-fini@médical
INJECTION	médical	injection@médical
MÉDICAMENT	médical	médicament@médical
ORDONNANCE	médical	ordonnance@médical
PANSEMENT	médical	pansement@médical
RADIOGRAPHIE	médical	radiographie@médical
SIROP	médical	sirop@médical
CONTRE	médical	contre@médical
LA	médical	la@médical
TOUX	médical	toux@médical
THERMOMÈTRE	médical	thermomètre@médical
VITAMINES	médical	vitamines@médical
986	médical	986@médical
PLUS	médical	plus@médical
ASPIRATION	médical - 2	aspiration@médical - 2
BOUTON	médical - 2	bouton@médical - 2
POUR	médical - 2	pour@médical - 2
CANULE	médical - 2	canule@médical - 2
CARTE	médical - 2	carte@médical - 2
VITALE	médical - 2	vitale@médical - 2
GANTS	médical - 2	gants@médical - 2
JETABLES	médical - 2	jetables@médical - 2
APPELER	médical - 2	appeler@médical - 2
L'INFI...	médical - 2	l'infi...@médical - 2
GOUTTES	médical - 2	gouttes@médical - 2
POUR	médical - 2	pour@médical - 2
LES	médical - 2	les@médical - 2
OREILLES	médical - 2	oreilles@médical - 2
PLÂTRE	médical - 2	plâtre@médical - 2
INHALATEUR	médical - 2	inhalateur@médical - 2
OPÉRATION	médical - 2	opération@médical - 2
PINCE	médical - 2	pince@médical - 2
À	médical - 2	à@médical - 2
ÉPILER	médical - 2	épiler@médical - 2
POMPE	médical - 2	pompe@médical - 2
DE	médical - 2	de@médical - 2
BACLOFÈNE	médical - 2	baclofène@médical - 2
STÉTHOSCOPE	médical - 2	stéthoscope@médical - 2
TABLE	médical - 2	table@médical - 2
TENSIOMÈTRE	médical - 2	tensiomètre@médical - 2
POMPE	médical - 2	pompe@médical - 2
D'ALIMENTATION	médical - 2	d'alimentation@médical - 2
D'EXAMEN	médical - 2	d'examen@médical - 2
TROUSSE	médical - 2	trousse@médical - 2
TUBE	médical - 2	tube@médical - 2
GASTRIQUE	médical - 2	gastrique@médical - 2
DE	médical - 2	de@médical - 2
SECOURS	médical - 2	secours@médical - 2
RETOUR	médical - 2	retour@médical - 2
MAL	échelle de douleur	mal@échelle de douleur
À	échelle de douleur	à@échelle de douleur
LA	échelle de douleur	la@échelle de douleur
GORGE	échelle de douleur	gorge@échelle de douleur
MAL	échelle de douleur	mal@échelle de douleur
À	échelle de douleur	à@échelle de douleur
LA	échelle de douleur	la@échelle de douleur
TÊTE	échelle de douleur	tête@échelle de douleur
MAL	échelle de douleur	mal@échelle de douleur
À	échelle de douleur	à@échelle de douleur
L'ESTOMAC	échelle de douleur	l'estomac@échelle de douleur
AVOIR-BESOIN	échelle de douleur	avoir-besoin@échelle de douleur
MAL	échelle de douleur	mal@échelle de douleur
À	échelle de douleur	à@échelle de douleur
L'OREILLE	échelle de douleur	l'oreille@échelle de douleur
PANSEMENT	échelle de douleur	pansement@échelle de douleur
RHUME	échelle de douleur	rhume@échelle de douleur
JE	échelle de douleur	je@échelle de douleur
N'AI	échelle de douleur	n'ai@échelle de douleur
PAS	échelle de douleur	pas@échelle de douleur
MAL	échelle de douleur	mal@échelle de douleur
J'AI	échelle de douleur	j'ai@échelle de douleur
UN	échelle de douleur	un@échelle de douleur
J'AI	échelle de douleur	j'ai@échelle de douleur
MAL	échelle de douleur	mal@échelle de douleur
PEU	échelle de douleur	peu@échelle de douleur
MAL	échelle de douleur	mal@échelle de douleur
J'AI	échelle de douleur	j'ai@échelle de douleur
UN	échelle de douleur	un@échelle de douleur
PEU	échelle de douleur	peu@échelle de douleur
J'AI	échelle de douleur	j'ai@échelle de douleur
TRÈS	échelle de douleur	très@échelle de douleur
MAL	échelle de douleur	mal@échelle de douleur
C'EST	échelle de douleur	c'est@échelle de douleur
TRÈS	échelle de douleur	très@échelle de douleur
DOULOUREUX	échelle de douleur	douloureux@échelle de douleur
J'AI	échelle de douleur	j'ai@échelle de douleur
BESOIN	échelle de douleur	besoin@échelle de douleur
CORPS-HUMAIN	échelle de douleur	corps-humain@échelle de douleur
D'AIDE	échelle de douleur	d'aide@échelle de douleur
PLUS	échelle de douleur	plus@échelle de douleur
MAL	échelle de douleur	mal@échelle de douleur
FERMER	échelle de douleur	fermer@échelle de douleur
PLUS	échelle de douleur	plus@échelle de douleur
ÉTOUFFER	il a un problème - 2	étouffer@il a un problème - 2
VOMIR	il a un problème - 2	vomir@il a un problème - 2
ATTAQUE	il a un problème - 2	attaque@il a un problème - 2
BOÎTE	il a un problème - 2	boîte@il a un problème - 2
À	il a un problème - 2	à@il a un problème - 2
PILULES	il a un problème - 2	pilules@il a un problème - 2
CONSTIPATION	il a un problème - 2	constipation@il a un problème - 2
CRAMPE	il a un problème - 2	crampe@il a un problème - 2
DIARRHÉE	il a un problème - 2	diarrhée@il a un problème - 2
FIÈVRE	il a un problème - 2	fièvre@il a un problème - 2
LÈVRES	il a un problème - 2	lèvres@il a un problème - 2
SÈCHES	il a un problème - 2	sèches@il a un problème - 2
MAL	il a un problème - 2	mal@il a un problème - 2
AUX	il a un problème - 2	aux@il a un problème - 2
YEUX	il a un problème - 2	yeux@il a un problème - 2
QUELQUE	il a un problème - 2	quelque@il a un problème - 2
CHOSE	il a un problème - 2	chose@il a un problème - 2
DANS	il a un problème - 2	dans@il a un problème - 2
I...	il a un problème - 2	i...@il a un problème - 2
MAL	il a un problème - 2	mal@il a un problème - 2
DE	il a un problème - 2	de@il a un problème - 2
DENT	il a un problème - 2	dent@il a un problème - 2
MAL	il a un problème - 2	mal@il a un problème - 2
DE	il a un problème - 2	de@il a un problème - 2
DOS	il a un problème - 2	dos@il a un problème - 2
NEZ	il a un problème - 2	nez@il a un problème - 2
QUI	il a un problème - 2	qui@il a un problème - 2
COULE	il a un problème - 2	coule@il a un problème - 2
YEUX	il a un problème - 2	yeux@il a un problème - 2
SECS	il a un problème - 2	secs@il a un problème - 2
RETOUR	il a un problème - 2	retour@il a un problème - 2
JE	produits de soin	je@produits de soin
VOULOIR	produits de soin	vouloir@produits de soin
BAIGNER	produits de soin	baigner@produits de soin
PAS	produits de soin	pas@produits de soin
ENCORE	produits de soin	encore@produits de soin
TU	produits de soin	tu@produits de soin
AIMER	produits de soin	aimer@produits de soin
BROSSER	produits de soin	brosser@produits de soin
BROSSER	produits de soin	brosser@produits de soin
C'EST-FINI	produits de soin	c'est-fini@produits de soin
LES	produits de soin	les@produits de soin
DENTS	produits de soin	dents@produits de soin
LAVER	produits de soin	laver@produits de soin
PEIGNER	produits de soin	peigner@produits de soin
BAUME	produits de soin	baume@produits de soin
POUR	produits de soin	pour@produits de soin
BROSSE-À-DENTS	produits de soin	brosse-à-dents@produits de soin
CHEVEUX	produits de soin	cheveux@produits de soin
LES	produits de soin	les@produits de soin
LÈVRES	produits de soin	lèvres@produits de soin
COUPE	produits de soin	coupe@produits de soin
CHEVEUX	produits de soin	cheveux@produits de soin
DÉODORANT	produits de soin	déodorant@produits de soin
APRÈS-	produits de soin	après-@produits de soin
SHAMPOING	produits de soin	shampoing@produits de soin
DENTIFRICE	produits de soin	dentifrice@produits de soin
DOUCHE	produits de soin	douche@produits de soin
GOUTTES-POUR-LES-YEUX	produits de soin	gouttes-pour-les-yeux@produits de soin
LOTION	produits de soin	lotion@produits de soin
MAQUILLAGE_R	produits de soin	maquillage_R@produits de soin
MOUCHOIRS	produits de soin	mouchoirs@produits de soin
PAPIER-TOILETTE	produits de soin	papier-toilette@produits de soin
